Date,Open,High,Low,Close,Adj Close,Volume
2018-06-06,60.799999,61.660000,59.880001,61.610001,61.505054,7203500
2018-06-07,61.689999,61.720001,59.230000,60.180000,60.077492,9806500
2018-06-08,59.230000,60.400002,58.830002,60.139999,60.037556,6165100
2018-06-11,59.990002,61.060001,59.959999,60.610001,60.506760,5104500
2018-06-12,60.860001,61.730000,60.669998,61.570000,61.465122,5981000
2018-06-13,61.799999,62.930000,61.139999,61.500000,61.395241,9030900
2018-06-14,62.380001,63.660000,62.209999,63.369999,63.262058,11306600
2018-06-15,62.639999,63.090000,61.799999,62.740002,62.633133,9711200
2018-06-18,61.500000,62.750000,60.919998,62.599998,62.493366,8590800
2018-06-19,60.189999,62.060001,59.619999,62.040001,61.934322,13454200
2018-06-20,62.860001,64.129997,62.730000,63.340000,63.232105,9955600
2018-06-21,63.779999,63.990002,61.330002,61.700001,61.594902,12785100
2018-06-22,62.320000,62.380001,60.610001,61.080002,60.975960,7778400
2018-06-25,59.619999,59.869999,55.490002,57.180000,57.082600,21413300
2018-06-26,57.730000,58.779999,57.099998,57.810001,57.711529,11770700
2018-06-27,58.540001,59.320000,55.320000,55.490002,55.395481,16479800
2018-06-28,55.220001,57.410000,54.869999,56.849998,56.753162,13912500
2018-06-29,57.669998,58.560001,57.060001,57.110001,57.012722,9817000
2018-07-02,55.660000,58.459999,55.279999,58.389999,58.290539,10412100
2018-07-03,59.020000,59.080002,56.230000,56.380001,56.283966,7053200
2018-07-05,57.490002,58.590000,56.590000,58.450001,58.350437,8202800
2018-07-06,58.810001,61.290001,58.520000,61.080002,60.975960,9376500
2018-07-09,62.080002,62.849998,61.389999,62.779999,62.673058,9047200
2018-07-10,63.049999,63.349998,62.279999,62.930000,62.822803,8348000
2018-07-11,61.500000,62.660000,61.290001,62.009998,61.904373,9978700
2018-07-12,62.770000,65.120003,62.639999,65.070000,64.959160,10169000
2018-07-13,65.080002,65.629997,64.589996,65.260002,65.148842,8484500
2018-07-16,65.309998,65.660004,64.480003,64.820000,64.709579,6945000
2018-07-17,62.799999,66.400002,62.779999,66.019997,65.907539,9449200
2018-07-18,66.000000,66.190002,65.000000,65.599998,65.488258,5817200
2018-07-19,64.959999,65.559998,64.379997,64.629997,64.519905,9609300
2018-07-20,65.160004,65.830002,64.330002,64.540001,64.430061,7174500
2018-07-23,63.970001,65.230003,63.200001,65.099998,64.989105,7878400
2018-07-24,67.150002,67.849998,65.150002,65.930000,65.817696,11883300
2018-07-25,66.019997,68.809998,65.970001,68.680000,68.563011,9655200
2018-07-26,65.919998,66.540001,65.309998,65.680000,65.568123,13986000
2018-07-27,66.839996,66.900002,61.779999,62.939999,62.832787,14762300
2018-07-30,62.950001,63.009998,59.320000,60.230000,60.127403,12600700
2018-07-31,60.869999,62.290001,59.910000,61.430000,61.325363,11964000
2018-08-01,62.000000,62.830002,61.240002,62.270000,62.163933,8662700
2018-08-02,60.900002,65.000000,60.840000,64.750000,64.639709,11530300
2018-08-03,65.089996,65.389999,64.300003,65.330002,65.218719,9016700
2018-08-06,65.250000,66.570000,64.989998,66.529999,66.416672,8508500
2018-08-07,67.050003,67.599998,66.650002,67.180000,67.065567,8996300
2018-08-08,66.959999,67.849998,66.400002,67.360001,67.245262,7929300
2018-08-09,67.300003,68.099998,67.019997,67.300003,67.185364,6790200
2018-08-10,65.959999,66.550003,65.019997,65.730003,65.618042,10703300
2018-08-13,66.089996,67.370003,65.449997,65.540001,65.428360,11559700
2018-08-14,66.260002,66.989998,65.230003,66.750000,66.636299,7590900
2018-08-15,65.239998,65.800003,63.080002,64.320000,64.210442,14482200
2018-08-16,65.739998,66.150002,64.529999,64.910004,64.799438,8142800
2018-08-17,64.389999,65.419998,63.209999,64.900002,64.789452,8782800
2018-08-20,65.370003,65.430000,64.000000,64.769997,64.659668,8432700
2018-08-21,65.339996,66.620003,65.209999,65.440002,65.328537,8383700
2018-08-22,65.000000,66.419998,64.790001,66.199997,66.087227,7914200
2018-08-23,65.870003,67.260002,65.570000,65.870003,65.757805,8891700
2018-08-24,66.570000,67.870003,66.500000,67.699997,67.584679,7994600
2018-08-27,68.790001,69.750000,68.419998,69.739998,69.621201,9106400
2018-08-28,70.320000,70.570000,69.639999,70.050003,69.930687,8153100
2018-08-29,70.410004,72.599998,70.349998,72.500000,72.376503,8216900
2018-08-30,72.059998,73.360001,71.349998,72.089996,71.967201,10982900
2018-08-31,71.820000,72.949997,71.570000,72.300003,72.176849,7897500
2018-09-04,71.669998,72.029999,70.230003,71.440002,71.318314,10026200
2018-09-05,71.000000,71.029999,67.919998,68.599998,68.483147,13466200
2018-09-06,68.720001,68.930000,65.379997,66.730003,66.616341,14438100
2018-09-07,65.360001,67.690002,65.220001,66.070000,65.957451,9626200
2018-09-10,67.089996,67.220001,65.529999,66.650002,66.536469,6931100
2018-09-11,65.769997,68.480003,65.300003,68.129997,68.013947,8815300
2018-09-12,67.849998,67.989998,65.790001,67.540001,67.424957,11032700
2018-09-13,68.699997,70.019997,68.669998,69.540001,69.421547,9334500
2018-09-14,69.790001,70.139999,68.209999,69.010002,68.892456,9586000
2018-09-17,68.620003,68.830002,65.860001,66.099998,65.987404,9102900
2018-09-18,66.239998,68.650002,66.139999,67.669998,67.554733,9094800
2018-09-19,67.699997,68.180000,66.190002,67.519997,67.404984,7370300
2018-09-20,68.820000,69.980003,68.360001,69.639999,69.521378,7835400
2018-09-21,70.260002,70.580002,68.309998,68.529999,68.413261,7535200
2018-09-24,67.110001,69.190002,66.239998,69.120003,69.002266,6609400
2018-09-25,68.989998,69.529999,68.309998,69.400002,69.281792,5407400
2018-09-26,69.459999,71.470001,69.110001,69.330002,69.211906,8865000
2018-09-27,70.360001,71.980003,70.230003,71.250000,71.128632,7315700
2018-09-28,70.639999,71.750000,70.279999,71.139999,71.018822,7732200
2018-10-01,72.500000,73.169998,71.080002,71.550003,71.428123,8529000
2018-10-02,71.360001,72.760002,70.639999,71.139999,71.018822,8098400
2018-10-03,72.010002,72.500000,71.029999,71.349998,71.228462,8321200
2018-10-04,70.500000,70.580002,65.699997,67.279999,67.165390,18861200
